cty,Name,Number_of_Children_rP_gP_pall
cty51059,"Fairfax County, VA",246259
cty24031,"Montgomery County, MD",221765
cty24033,"Prince George's County, MD",214589
cty24005,"Baltimore County, MD",178362
cty24510,"Baltimore city, MD",161351
cty24003,"Anne Arundel County, MD",123633
cty11001,"District of Columbia, DC",114990
cty51153,"Prince William County, VA",85446
cty24027,"Howard County, MD",69544
cty24021,"Frederick County, MD",53890
cty51107,"Loudoun County, VA",50552
cty24017,"Charles County, MD",34651
cty51013,"Arlington County, VA",31239
cty51179,"Stafford County, VA",29169
cty24009,"Calvert County, MD",22055
cty51510,"Alexandria city, VA",21537
cty51061,"Fauquier County, VA",14790
cty51683,"Manassas city, VA",10380
cty24035,"Queen Anne's County, MD",10306
cty24041,"Talbot County, MD",7324
cty51600,"Fairfax city, VA",4422
cty51685,"Manassas Park city, VA",3200
cty51610,"Falls Church city, VA",2430